Acidity,Aftertaste,Aroma,Balance,Body,Category One Defects,Category Two Defects,Clean Cup,Color,Country of Origin,Flavor,Harvest Year,Processing Method,Sweetness,Uniformity,Variety,altitud_limpia,Specialty
7.92,8.0,7.92,8.08,8.0,0,0,10.0,Bluish-Green,Costa Rica,8.08,2014,Washed / Wet,9.33,10.0,Caturra,1300.0,Specialty
7.67,7.58,8.0,8.5,8.08,0,2,10.0,Bluish-Green,Costa Rica,7.58,2014,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
8.08,7.75,7.83,7.75,7.92,0,2,10.0,Green,Kenya,8.08,2012,Washed / Wet,10.0,10.0,Sl34,1600.0,Specialty
8.08,7.92,8.0,7.75,7.83,0,6,10.0,Green,Kenya,7.92,2012,Washed / Wet,10.0,10.0,Sl34,1200.0,Specialty
8.08,7.92,7.83,7.83,7.75,0,2,10.0,,Ethiopia,7.83,2009/2010,,10.0,10.0,,,Specialty
8.33,7.75,7.92,7.75,7.75,0,3,10.0,,Ethiopia,7.83,2009/2010,,10.0,10.0,Typica,,Specialty
8.0,7.75,8.0,7.83,7.92,0,2,10.0,Green,Guatemala,7.92,2016,,10.0,10.0,Bourbon,,Specialty
8.0,7.83,8.17,7.83,7.58,0,0,10.0,Green,Colombia,7.92,2015,Washed / Wet,10.0,10.0,Caturra,1550.0,Specialty
7.83,7.92,7.58,7.92,8.0,0,2,10.0,Green,Colombia,8.08,2014,Natural / Dry,10.0,10.0,Caturra,1550.0,Specialty
8.0,7.67,7.75,7.83,8.08,0,3,10.0,Green,Indonesia,7.83,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Sumatra Lintong,1325.0,Specialty
7.92,7.67,8.25,7.67,7.75,0,7,10.0,,Guatemala,8.0,2012,Washed / Wet,10.0,10.0,Caturra,1400.0,Specialty
8.0,7.58,7.75,7.92,8.0,0,8,10.0,Green,Ethiopia,8.0,2016,Natural / Dry,10.0,10.0,Other,,Specialty
8.08,7.58,8.17,7.75,8.0,0,0,10.0,,Colombia,7.83,2015,Natural / Dry,10.0,10.0,Caturra,2560.0,Specialty
8.0,7.42,8.42,7.92,7.92,2,7,10.0,Green,Ethiopia,8.0,2014,Natural / Dry,10.0,9.33,,1700.0,Specialty
7.92,7.83,7.58,8.17,7.83,2,2,10.0,Bluish-Green,United States (Hawaii),7.83,2014,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.75,7.75,7.83,7.83,7.83,0,8,10.0,Green,Colombia,8.0,2012,Natural / Dry,10.0,10.0,Caturra,2136.0,Specialty
8.0,7.92,8.08,8.0,8.08,1,7,9.33,,United States (Hawaii),8.17,2010-2011,,10.0,9.33,,,Specialty
8.0,7.83,7.67,7.83,7.92,0,5,10.0,,Ethiopia,8.0,2010,,10.0,10.0,,,Specialty
7.83,8.25,7.5,7.75,7.92,0,0,10.0,,United States (Hawaii),7.92,,,10.0,10.0,,,Specialty
7.75,7.75,8.17,7.75,7.67,0,1,10.0,Green,Uganda,7.92,2016,Washed / Wet,10.0,10.0,Sl14,1800.0,Specialty
7.92,7.75,8.0,7.83,7.75,0,3,10.0,Green,Colombia,7.92,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.92,7.58,7.83,7.83,7.92,1,1,10.0,Green,Costa Rica,8.0,2016,Washed / Wet,10.0,10.0,Catuai,1900.0,Specialty
7.75,7.83,7.83,7.83,7.67,0,3,10.0,Green,Mexico,8.0,2015,Washed / Wet,10.0,10.0,Typica,1300.0,Specialty
7.75,7.92,8.17,7.83,7.67,0,7,10.0,Green,Kenya,7.83,2015,Washed / Wet,10.0,10.0,,,Specialty
8.08,7.75,7.75,7.75,8.0,0,5,10.0,Green,Kenya,7.83,2012,Washed / Wet,10.0,10.0,Sl34,1580.0,Specialty
7.83,7.83,8.0,7.67,7.67,0,3,10.0,Green,Brazil,8.0,2012,Natural / Dry,10.0,10.0,Mundo Novo,1100.0,Specialty
8.08,7.75,7.92,7.83,7.42,0,0,10.0,,Mexico,8.17,2010-2011,,10.0,10.0,Pacamara,1400.0,Specialty
7.75,7.75,7.75,8.0,8.0,0,1,10.0,,United States (Hawaii),7.92,,,10.0,10.0,,,Specialty
8.0,7.67,7.83,7.67,7.75,0,1,10.0,,Guatemala,8.08,2009/2010,,10.0,10.0,,1325.88,Specialty
7.83,7.67,7.92,7.83,7.92,1,2,10.0,,Colombia,7.92,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.83,7.75,7.92,8.0,7.75,0,1,10.0,Green,Colombia,7.83,2015,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.58,8.0,7.67,7.92,8.0,0,0,10.0,Green,Taiwan,7.83,2015,Semi-Washed / Semi-Pulped,10.0,10.0,Typica,800.0,Specialty
7.92,7.83,8.0,7.75,7.75,0,2,10.0,Green,"Tanzania, United Republic Of",7.83,2014,Washed / Wet,10.0,10.0,Other,1620.0,Specialty
7.75,7.83,7.75,8.0,7.75,0,3,10.0,Green,Colombia,7.92,2012,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
7.83,7.75,7.75,7.92,7.5,0,0,10.0,,Mexico,8.0,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Typica,1200.0,Specialty
7.75,7.75,8.0,7.75,8.0,0,2,10.0,Green,Brazil,7.92,2011,Natural / Dry,10.0,10.0,Bourbon,1200.0,Specialty
8.0,7.75,8.0,7.75,7.5,0,2,10.0,Green,Brazil,8.0,2011,Natural / Dry,10.0,10.0,Catuai,1000.0,Specialty
8.17,7.83,8.0,7.75,7.92,1,9,10.0,,Kenya,7.67,2009-2010,,10.0,10.0,,,Specialty
7.83,7.83,7.92,7.83,7.83,0,0,10.0,Green,Taiwan,7.58,2016,Natural / Dry,10.0,10.0,Typica,350.0,Specialty
7.67,7.67,7.75,7.75,8.25,0,1,10.0,Green,Uganda,7.92,2013,Natural / Dry,10.0,10.0,Sl14,1650.0,Specialty
7.75,7.75,7.67,8.0,7.83,3,15,10.0,,United States (Hawaii),7.75,2012,Natural / Dry,10.0,10.0,Hawaiian Kona,,Specialty
7.92,7.83,7.75,7.67,7.75,0,2,10.0,,Ethiopia,7.92,2009/2010,,10.0,10.0,,1750.0,Specialty
8.0,7.92,7.42,7.83,7.83,0,4,10.0,,Ethiopia,7.92,2009/2010,,10.0,10.0,,1750.0,Specialty
7.75,7.75,7.75,7.75,8.0,0,0,10.0,Green,Thailand,7.75,2015,Pulped Natural / Honey,10.0,10.0,Caturra,,Specialty
7.92,7.58,7.92,7.83,7.75,0,0,10.0,Green,Kenya,7.83,2014,Washed / Wet,10.0,10.0,Sl34,1800.0,Specialty
7.67,8.0,7.83,7.67,7.67,0,4,10.0,Green,Honduras,7.75,2014,Washed / Wet,10.0,10.0,Catuai,1450.0,Specialty
8.33,8.0,7.75,7.92,7.67,0,3,10.0,,El Salvador,8.0,2010-2011,,9.33,10.0,,1200.0,Specialty
7.83,7.58,7.83,7.67,7.75,0,2,10.0,,Nicaragua,7.58,2009 - 2010,,10.0,10.0,,925.0,Specialty
8.0,7.5,7.83,7.67,7.83,0,2,10.0,Blue-Green,El Salvador,7.83,2016,Washed / Wet,10.0,10.0,Bourbon,1350.0,Specialty
7.75,7.75,7.92,7.75,7.75,0,7,10.0,Green,Indonesia,7.83,2016,Washed / Wet,10.0,10.0,Java,1200.0,Specialty
7.42,7.75,7.75,7.83,8.08,0,0,10.0,Green,Japan,7.75,,Pulped Natural / Honey,10.0,10.0,Mundo Novo,170.0,Specialty
7.83,7.67,8.08,7.92,7.5,0,2,10.0,Blue-Green,Costa Rica,7.75,2015,Washed / Wet,10.0,10.0,Catuai,1150.0,Specialty
8.0,7.58,7.75,7.75,7.92,0,1,10.0,Green,Guatemala,7.83,2015,Washed / Wet,10.0,10.0,Bourbon,1600.0,Specialty
7.17,7.83,8.17,7.75,7.83,0,0,10.0,Green,Costa Rica,8.0,2014,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
7.83,7.75,8.08,7.67,7.58,0,3,10.0,,Ethiopia,7.83,2014,Washed / Wet,10.0,10.0,Ethiopian Yirgacheffe,1900.0,Specialty
7.75,7.75,7.67,8.58,7.67,0,1,10.0,Green,Costa Rica,7.58,2014,Other,10.0,10.0,Other,1750.0,Specialty
7.75,7.83,8.0,7.75,7.75,0,4,10.0,Green,Costa Rica,7.58,2014,Washed / Wet,10.0,10.0,Catuai,1200.0,Specialty
7.83,7.75,8.08,8.0,7.92,1,10,10.0,Green,Costa Rica,7.83,2012,Washed / Wet,9.33,10.0,,,Specialty
7.75,7.75,8.0,7.75,7.75,0,0,10.0,Green,Taiwan,7.92,2013/2014,Washed / Wet,10.0,10.0,Typica,1000.0,Specialty
7.83,7.75,7.75,7.83,7.75,0,0,10.0,Green,Colombia,7.83,2013,Washed / Wet,10.0,10.0,Caturra,1550.0,Specialty
8.0,7.83,7.75,7.75,7.58,0,0,10.0,Bluish-Green,Kenya,7.92,2012,Washed / Wet,10.0,10.0,Sl28,2000.0,Specialty
7.83,7.67,8.0,8.0,7.67,0,4,10.0,Green,Guatemala,7.83,2012,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
8.0,7.67,7.67,7.83,7.67,0,4,10.0,Green,Guatemala,7.83,2012,Washed / Wet,10.0,10.0,Bourbon,1524.0,Specialty
7.92,7.67,7.83,7.83,7.92,0,3,10.0,,Mexico,7.58,2012,Washed / Wet,10.0,10.0,Typica,1200.0,Specialty
7.92,7.75,7.92,7.75,7.67,0,3,10.0,Blue-Green,Uganda,7.83,2012,Washed / Wet,10.0,10.0,Other,1775.0,Specialty
7.75,7.75,7.67,7.83,7.92,0,3,10.0,,Peru,7.83,,,10.0,10.0,,,Specialty
8.0,7.75,7.42,7.92,8.0,0,3,10.0,,Ethiopia,7.75,2009/2010,,10.0,10.0,,1750.0,Specialty
7.75,7.83,7.92,7.92,7.58,0,5,10.0,Blue-Green,Kenya,7.75,,Washed / Wet,10.0,10.0,Sl34,1754.0,Specialty
7.92,7.58,7.83,7.83,7.67,0,4,10.0,Blue-Green,Colombia,7.67,2016,Washed / Wet,10.0,10.0,Other,1500.0,Specialty
8.0,7.58,7.92,7.67,7.83,0,5,10.0,Green,Colombia,7.83,2016,Washed / Wet,10.0,10.0,Caturra,,Specialty
7.75,7.83,7.83,7.83,7.58,0,2,10.0,Bluish-Green,Kenya,7.83,2013,Washed / Wet,10.0,10.0,Peaberry,1800.0,Specialty
7.92,7.67,7.75,7.83,7.75,0,1,10.0,Green,Guatemala,7.83,2014,Washed / Wet,10.0,10.0,Pacas,1524.0,Specialty
7.58,7.67,8.0,7.67,7.58,0,0,10.0,Green,Guatemala,7.92,2014,Washed / Wet,10.0,10.0,Bourbon,1219.2,Specialty
7.75,7.58,7.67,8.5,7.58,0,0,10.0,,Colombia,7.67,2013,Washed / Wet,10.0,10.0,Caturra,1550.0,Specialty
7.75,7.83,7.75,8.0,7.58,0,5,10.0,,Colombia,7.75,2013,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
8.08,7.75,7.75,7.75,7.75,0,0,10.0,Green,Kenya,7.75,2013,Washed / Wet,10.0,10.0,Sl28,,Specialty
8.0,7.83,7.67,7.92,7.58,0,2,10.0,Green,Colombia,7.83,2012,Washed / Wet,10.0,10.0,Caturra,1750.0,Specialty
8.0,7.75,7.75,7.67,7.83,0,2,10.0,Bluish-Green,Costa Rica,7.83,2012,Semi-Washed / Semi-Pulped,10.0,10.0,Bourbon,1575.0,Specialty
7.75,7.75,7.42,7.83,8.08,0,6,10.0,Green,Colombia,7.67,2012,Washed / Wet,10.0,10.0,Caturra,1800.0,Specialty
7.75,7.75,8.0,7.75,7.58,0,2,10.0,Green,Brazil,8.0,2011,Semi-Washed / Semi-Pulped,10.0,10.0,Bourbon,1300.0,Specialty
7.75,7.5,8.5,7.83,7.5,0,1,10.0,Blue-Green,Brazil,8.0,2011,Semi-Washed / Semi-Pulped,10.0,10.0,Catuai,1100.0,Specialty
7.75,7.92,7.92,7.58,7.67,0,2,10.0,Bluish-Green,Costa Rica,7.67,2017 / 2018,Washed / Wet,10.0,10.0,Caturra,1200.0,Specialty
7.75,7.67,7.92,7.75,7.83,0,1,10.0,Green,Uganda,7.75,2016,Washed / Wet,10.0,10.0,Sl14,1750.0,Specialty
7.83,7.67,7.75,7.67,7.75,0,1,10.0,Green,China,7.92,2015,Washed / Wet,10.0,10.0,Catimor,1680.0,Specialty
7.83,7.83,7.92,7.58,7.58,0,0,10.0,Green,Costa Rica,7.83,2014,Washed / Wet,10.0,10.0,Caturra,1700.0,Specialty
7.83,7.83,8.08,7.67,7.67,1,0,10.0,Green,Colombia,7.67,2015/2016,Washed / Wet,10.0,10.0,Other,1800.0,Specialty
7.83,7.75,7.67,7.58,7.75,0,2,10.0,Green,China,8.0,2013,Washed / Wet,10.0,10.0,Other,1100.0,Specialty
7.83,7.67,8.17,7.83,7.67,0,2,10.0,Green,Guatemala,7.83,2013,Washed / Wet,10.0,10.0,Bourbon,1310.64,Specialty
8.0,7.67,7.92,7.75,7.67,0,0,10.0,Blue-Green,Kenya,7.83,2012,Washed / Wet,10.0,10.0,Sl28,2000.0,Specialty
8.08,7.42,8.0,7.67,7.5,0,0,10.0,Green,Mexico,7.92,2012,Washed / Wet,10.0,10.0,Typica,1350.0,Specialty
7.75,7.75,7.92,7.83,7.75,0,4,10.0,,Mexico,7.83,2012,Washed / Wet,10.0,10.0,Typica,1500.0,Specialty
8.0,7.67,7.67,7.83,7.5,0,2,10.0,Green,Guatemala,8.0,2012,Washed / Wet,10.0,10.0,Bourbon,,Specialty
7.75,7.88,7.81,8.25,7.38,0,4,10.0,,Brazil,7.81,mmm,,10.0,9.5,,,Specialty
7.75,7.75,8.17,7.75,7.67,2,0,10.0,,Brazil,7.67,TEST,,10.0,10.0,,,Specialty
8.0,7.83,7.58,7.58,7.67,0,3,10.0,Blue-Green,Costa Rica,7.83,2016,Washed / Wet,10.0,10.0,Caturra,1300.0,Specialty
7.58,7.83,7.67,7.83,7.83,0,3,10.0,Blue-Green,Indonesia,7.67,2017,Other,10.0,10.0,Mandheling,1400.0,Specialty
7.67,7.75,7.92,7.67,7.92,0,1,10.0,Green,Colombia,7.83,2015/2016,Natural / Dry,10.0,10.0,Caturra,,Specialty
7.92,7.67,7.92,7.75,7.67,0,3,10.0,Green,Colombia,7.75,2014,Washed / Wet,10.0,10.0,Caturra,1775.0,Specialty
8.0,7.75,7.83,7.75,7.5,0,0,10.0,Blue-Green,Taiwan,7.83,2012,Washed / Wet,10.0,10.0,Typica,1200.0,Specialty
